Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
45926014,2012-09-13 21:59:16.0000003,7.0,2012-09-13 21:59:16 UTC,-73.97341800000001,40.750835,-73.987312,40.732547,4
46709813,2010-10-08 07:17:00.00000057,10.1,2010-10-08 07:17:00 UTC,-73.97811,40.728992,-73.97229300000001,40.756258,1
45020700,2010-03-27 15:33:37.0000001,13.3,2010-03-27 15:33:37 UTC,-73.994946,40.740561,-73.97885699999999,40.78763,2
46223489,2011-04-21 09:26:11.0000003,9.3,2011-04-21 09:26:11 UTC,-73.981992,40.757513,-73.968552,40.761136,1
19119561,2012-12-22 05:04:23.0000001,51.0,2012-12-22 05:04:23 UTC,-73.99255500000001,40.723692,-73.72997600000001,40.675237,2
18452899,2012-08-29 20:44:00.000000240,6.5,2012-08-29 20:44:00 UTC,-73.991737,40.730325,-73.999165,40.722947,2
4549990,2012-09-22 10:46:03.0000003,12.0,2012-09-22 10:46:03 UTC,-73.954881,40.780464,-73.976989,40.782624,1
1501122,2009-07-13 21:00:00.0000007,4.5,2009-07-13 21:00:00 UTC,-73.928712,40.74402,-73.925668,40.754675,1
45536366,2010-03-04 21:16:07.0000003,6.1,2010-03-04 21:16:07 UTC,-73.991242,40.749595,-73.979946,40.743384000000006,1
30266865,2010-09-23 18:25:00.00000025,13.3,2010-09-23 18:25:00 UTC,-73.988567,40.763928,-73.984193,40.72869,1
28554871,2013-07-29 18:21:06.0000001,11.5,2013-07-29 18:21:06 UTC,-73.98867800000001,40.757155,-73.978987,40.723911,1
13401316,2014-09-21 23:22:02.0000002,10.5,2014-09-21 23:22:02 UTC,-73.96151,40.780135,-73.982854,40.748227,1
12451018,2010-05-01 21:05:43.0000003,6.9,2010-05-01 21:05:43 UTC,-73.993815,40.756992,-74.006087,40.739816,2
11802099,2010-11-11 06:56:48.0000001,14.9,2010-11-11 06:56:48 UTC,-73.993128,40.757589,-73.961908,40.810923,1
23654508,2012-09-16 18:40:11.0000001,13.0,2012-09-16 18:40:11 UTC,-73.976493,40.759284,-73.994646,40.759567,1
22170667,2009-05-14 22:35:00.00000076,4.1,2009-05-14 22:35:00 UTC,-73.962202,40.7762,-73.954487,40.786612,2
44589582,2009-09-01 16:04:03.0000002,5.7,2009-09-01 16:04:03 UTC,-73.991113,40.739277,-73.982239,40.745595,2
29095502,2014-02-18 11:50:57.0000002,9.5,2014-02-18 11:50:57 UTC,-73.94864399999999,40.781946000000005,-73.96278199999999,40.758251,1
23245302,2012-03-17 14:48:19.0000006,7.7,2012-03-17 14:48:19 UTC,-73.972125,40.747277,-73.955402,40.772090000000006,4
24277763,2011-08-05 08:46:31.0000001,32.1,2011-08-05 08:46:31 UTC,-73.985312,40.752193,-73.873289,40.774359,1
7572622,2010-02-11 00:06:00.00000026,4.9,2010-02-11 00:06:00 UTC,-73.994518,40.75084,-73.988197,40.759623,1
25294343,2010-08-10 14:22:19.0000001,6.9,2010-08-10 14:22:19 UTC,-73.9769,40.759019,-73.98804200000001,40.769934,1
11385643,2014-03-19 20:41:04.0000004,10.5,2014-03-19 20:41:04 UTC,-73.97519799999999,40.754352,-73.98900400000001,40.726929,1
8993863,2009-01-10 22:18:00.000000145,14.9,2009-01-10 22:18:00 UTC,-74.00542800000001,40.73144,-73.95805,40.776378,1
12299252,2013-01-20 23:40:24.0000006,9.0,2013-01-20 23:40:24 UTC,-73.974313,40.747563,-73.992533,40.722522,4
22096350,2013-11-28 11:27:07.0000001,10.0,2013-11-28 11:27:07 UTC,-73.983586,40.771045,-74.002648,40.748626,1
24468474,2014-03-23 12:44:00.00000021,15.0,2014-03-23 12:44:00 UTC,-73.947185,40.785362,-73.893435,40.820257,5
32916781,2014-05-17 19:09:00.000000274,3.5,2014-05-17 19:09:00 UTC,-73.94782,40.783302,-73.95182,40.777787,1
31055908,2010-10-05 22:38:59.0000002,17.7,2010-10-05 22:38:59 UTC,-73.983926,40.676072,-73.94214000000001,40.716946,2
30918651,2013-02-04 18:17:24.0000005,7.0,2013-02-04 18:17:24 UTC,-73.968616,40.786375,-73.980788,40.774078,1
6378405,2015-04-21 08:18:45.0000003,43.5,2015-04-21 08:18:45 UTC,-73.79051208496094,40.64689254760742,-73.92613220214845,40.76256561279297,1
41861907,2012-06-19 20:27:00.000000147,24.9,2012-06-19 20:27:00 UTC,-73.886002,40.772427,-73.95513000000001,40.777352,2
39875925,2009-06-25 03:26:17.0000001,20.1,2009-06-25 03:26:17 UTC,-73.991095,40.755992,-73.93289200000001,40.850392,1
50004141,2012-11-19 09:48:00.000000131,10.0,2012-11-19 09:48:00 UTC,-73.952613,40.776843,-73.972133,40.750332,1
29972767,2009-03-22 21:56:00.00000065,4.5,2009-03-22 21:56:00 UTC,-73.97251700000001,40.75363,-73.970325,40.765275,5
12704621,2011-10-23 22:25:46.0000001,5.3,2011-10-23 22:25:46 UTC,-73.984123,40.754702,-73.990066,40.752146,1
11589599,2011-01-17 07:51:05.0000002,6.9,2011-01-17 07:51:05 UTC,-73.95191,40.777541,-73.976568,40.765984,1
51279101,2009-05-13 22:15:00.000000226,5.3,2009-05-13 22:15:00 UTC,-73.982413,40.755132,-73.97698299999999,40.748557,2
20828512,2012-04-20 02:08:51.0000002,10.5,2012-04-20 02:08:51 UTC,-73.971753,40.763525,-73.943241,40.769175,3
14826477,2012-01-03 11:57:00.00000062,5.3,2012-01-03 11:57:00 UTC,-73.992997,40.748032,-73.992997,40.748032,1
29594051,2013-09-23 11:25:36.0000001,12.5,2013-09-23 11:25:36 UTC,-73.969399,40.76916,-73.999053,40.761249,2
43083235,2013-09-02 10:17:02.0000001,20.5,2013-09-02 10:17:02 UTC,-73.947868,40.782087,-73.998032,40.745829,1
54431237,2012-09-13 23:16:09.0000003,13.5,2012-09-13 23:16:09 UTC,-73.993143,40.727926,-73.977163,40.77669,1
11611164,2012-04-06 02:03:00.000000114,7.3,2012-04-06 02:03:00 UTC,-73.982568,40.764892,-73.977337,40.741182,1
19843181,2014-06-23 22:14:34.0000002,12.5,2014-06-23 22:14:34 UTC,-73.997303,40.747382,-73.97998,40.789922,1
13119608,2010-10-16 15:04:00.000000184,30.1,2010-10-16 15:04:00 UTC,-73.95622,40.784918,-73.839072,40.719032,2
42676623,2010-06-02 15:34:27.0000001,7.7,2010-06-02 15:34:27 UTC,-73.94629,40.789677000000005,-73.945926,40.803818,1
17610096,2014-10-30 20:15:03.0000001,17.5,2014-10-30 20:15:03 UTC,-74.000089,40.727143,-73.999961,40.682962,1
47634110,2013-04-14 21:11:00.00000024,6.0,2013-04-14 21:11:00 UTC,-73.991742,40.747302000000005,-73.989007,40.758277,6
7629357,2009-12-14 08:38:00.000000102,6.5,2009-12-14 08:38:00 UTC,-73.95572800000001,40.7822,-73.97579300000001,40.776535,1
54477923,2009-05-30 12:47:00.000000141,9.3,2009-05-30 12:47:00 UTC,-73.976395,40.78833,-73.985073,40.759353,1
31102103,2015-05-08 10:44:43.0000004,13.0,2015-05-08 10:44:43 UTC,-73.9749984741211,40.74185180664063,-73.9986801147461,40.761043548583984,1
44989464,2011-08-19 13:15:49.0000001,17.3,2011-08-19 13:15:49 UTC,-74.002113,40.74041,-73.951802,40.781717,1
24195397,2013-10-31 10:35:00.000000108,15.0,2013-10-31 10:35:00 UTC,-73.948132,40.778707,-73.976792,40.756662,1
48718184,2012-06-21 00:28:00.00000061,12.9,2012-06-21 00:28:00 UTC,-73.97611500000001,40.740087,-73.92710799999999,40.76955,1
9786984,2014-11-28 19:48:33.0000002,6.0,2014-11-28 19:48:33 UTC,-73.981757,40.728367,-73.982617,40.72419,1
24780231,2013-05-10 15:10:00.000000103,12.5,2013-05-10 15:10:00 UTC,-73.991377,40.70255,-73.999735,40.734407,1
7182322,2014-05-02 08:56:24.0000004,7.5,2014-05-02 08:56:24 UTC,-73.96620300000001,40.768668,-73.974322,40.75641,1
12561972,2010-05-13 12:14:00.00000061,27.7,2010-05-13 12:14:00 UTC,-73.89993199999999,40.741225,-73.789395,40.647177,3
1581098,2012-10-15 10:24:41.0000003,6.5,2012-10-15 10:24:41 UTC,-73.99315,40.729864,-73.979957,40.726807,1
17830672,2010-09-28 17:10:45.0000002,8.5,2010-09-28 17:10:45 UTC,-73.986884,40.756907,-73.973066,40.764376,1
36109947,2012-05-20 04:34:00.00000074,20.5,2012-05-20 04:34:00 UTC,-73.97176999999999,40.762772,-73.983075,40.696117,1
35268756,2010-11-22 21:53:00.000000178,9.3,2010-11-22 21:53:00 UTC,-73.992183,40.734367,-74.01592,40.715065,5
6450415,2010-01-22 20:21:00.000000206,8.1,2010-01-22 20:21:00 UTC,-74.00546800000001,40.740853,-73.985827,40.76295,5
12991848,2014-12-17 06:44:53.0000001,10.5,2014-12-17 06:44:53 UTC,-73.970824,40.783184000000006,-73.97306999999999,40.764286,1
24260685,2010-03-29 09:40:52.0000001,2.9,2010-03-29 09:40:52 UTC,-73.990511,40.740285,-73.99100899999999,40.736855,1
52930702,2011-03-15 20:03:00.000000119,7.3,2011-03-15 20:03:00 UTC,-73.953022,40.788437,-73.957043,40.768375,1
52738745,2009-12-26 16:23:00.00000025,7.3,2009-12-26 16:23:00 UTC,-73.955313,40.764553,-73.962805,40.778235,5
47290183,2013-06-29 18:35:00.0000004,57.33,2013-06-29 18:35:00 UTC,-73.82365,40.712627000000005,-73.776445,40.645192,1
1657265,2012-01-07 21:55:13.0000002,12.1,2012-01-07 21:55:13 UTC,-73.9783,40.7829,-73.9773,40.7463,4
